economy,year,social_foundation_score,ecological_ceiling_score,social_dimension_coverage,ecological_dimension_coverage,doughnut_score,green_transition_actions_score,green_expected_2030_path,green_distance_to_target
Switzerland,2003,,99.92897429324469,,0.16666666666666666,0.07102570675530728,99.92897429324469,88.99938172174842,10.929592571496272
Switzerland,2004,,99.9289370412528,,0.16666666666666666,0.07106295874720558,99.9289370412528,88.66607128760958,11.262865753643212
Switzerland,2005,,99.92346943094599,,0.16666666666666666,0.07653056905401456,99.92346943094599,88.33276085347076,11.590708577475226
Switzerland,2006,,99.92682711560674,,0.16666666666666666,0.07317288439325864,99.92682711560674,87.99945041933192,11.92737669627482
Switzerland,2007,,99.94097130441955,,0.16666666666666666,0.05902869558045154,99.94097130441955,87.6661399851931,12.27483131922645
Switzerland,2008,,99.93478062496749,,0.16666666666666666,0.06521937503251252,99.93478062496749,87.33282955105426,12.601951073913227
Switzerland,2009,,99.9564072119924,,0.16666666666666666,0.0435927880076008,99.9564072119924,86.99951911691544,12.956888095076962
Switzerland,2010,,99.93897006608503,,0.16666666666666666,0.06102993391496625,99.93897006608503,86.6662086827766,13.272761383308435
Switzerland,2011,,99.97446294185222,,0.16666666666666666,0.025537058147776293,99.97446294185222,86.33289824863778,13.641564693214448
Switzerland,2012,,99.96832808351625,,0.16666666666666666,0.03167191648374512,99.96832808351625,85.99958781449894,13.968740269017317
Switzerland,2013,,99.96199394563733,,0.16666666666666666,0.03800605436266835,99.96199394563733,85.66627738036011,14.295716565277218
Switzerland,2014,,99.99128369527753,,0.16666666666666666,0.008716304722469204,99.99128369527753,85.33296694622129,14.65831674905624
Switzerland,2015,89.79399148621911,79.54763360050778,0.9,1.0,42.8544001748833,91.43349108673692,84.99965651208245,6.433834574654469
Switzerland,2016,90.51656718150706,80.48090293600235,0.9,1.0,42.03333987105593,91.85819803129739,84.66634607794362,7.191851953353776
Switzerland,2017,91.06324347268144,81.92189325773266,0.9,1.0,40.57401922161785,92.33876191727785,84.33303564380479,8.005726273473059
Switzerland,2018,91.7419291385992,83.1712361868368,0.9,1.0,39.29253437025209,92.06356716455183,83.99972520966597,8.06384195488586
Switzerland,2019,92.64939432245187,83.46672907679257,0.9,1.0,39.13818515470757,92.33964000640646,83.66641477552713,8.673225230879325
Switzerland,2020,91.57802406383118,84.10519985514621,0.9,1.0,38.15251486016627,93.25505378015728,83.33310434138829,9.92194943876899
Switzerland,2021,92.49175327090451,81.5262353189606,0.9,0.8333333333333334,41.336072441191675,93.48234495017095,82.99979390724947,10.482551042921486
Switzerland,2022,93.97901585236188,81.89596833416313,0.9,0.8333333333333334,41.24801909080415,92.02855603525676,82.66648347311065,9.36207256214611
Switzerland,2023,94.66733832879896,73.47898540619973,0.9,0.6666666666666666,50.106624924996744,90.4728458588006,82.33317303897181,8.139672819828789
Switzerland,2024,94.05175444403676,50.0,0.3,0.3333333333333333,68.57541631081676,100.0,81.99986260483298,18.000137395167016
Switzerland,2025,79.03076315384783,,0.2,,79.03076315384783,,,
United Kingdom,1970,,93.21438927217588,,0.16666666666666666,6.785610727824121,93.21438927217588,93.21438927217588,0.0
United Kingdom,1971,,93.26525920182256,,0.16666666666666666,6.734740798177441,93.26525920182256,92.99414945097294,0.2711097508496181
United Kingdom,1972,,93.38271562452378,,0.16666666666666666,6.617284375476217,93.38271562452378,92.77390962977002,0.6088059947537658
United Kingdom,1973,,93.0359093648541,,0.16666666666666666,6.964090635145894,93.0359093648541,92.55366980856708,0.48223955628702697
United Kingdom,1974,,93.52287209237117,,0.16666666666666666,6.477127907628827,93.52287209237117,92.33342998736416,1.1894421050070179
